Tag,Event Type,Package,Resource ID,Text,Signature,Content Free Signature,Event String
2024-05-20_031518,key,NULL,NULL,NULL,NULL,NULL,KeyEvent(state=626d87ade7ccb9b40dad02bc8802f5b6  name=BACK)
2024-05-20_031522,touch,ridmik.keyboard,ridmik.keyboard:id/more_safe_text_btn,LEARN MORE,[class]android.widget.Button[resource_id]ridmik.keyboard:id/more_safe_text_btn[text]LEARN MORE[enabled  ],[class]android.widget.Button[resource_id]ridmik.keyboard:id/more_safe_text_btn,TouchEvent(state=c8804fc44cc43ba71d8d05ac2ef93f27  view=6783ac1c6c3e49332895cec113103b0a(SetupWizardActivity/Button-LEARN MORE))
2024-05-20_031528,touch,ridmik.keyboard,ridmik.keyboard:id/setup_step1_bullet,1,[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step1_bullet[text]1[enabled  ],[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step1_bullet,TouchEvent(state=641299f46c08e8cdef29edfb52b6a709  view=a4d5b6b142cac3be97bd669676d0a950(SetupWizardActivity/TextView-1))
2024-05-20_031534,touch,ridmik.keyboard,ridmik.keyboard:id/setup_step_action_label,Enable in Settings,[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step_action_label[text]Enable in Settings[enabled  ],[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step_action_label,TouchEvent(state=641299f46c08e8cdef29edfb52b6a709  view=ae304cdcfe57949726ed2c2850e6a19f(SetupWizardActivity/TextView-Enable in ))
2024-05-20_031540,touch,ridmik.keyboard,ridmik.keyboard:id/more_safe_text_btn,LEARN MORE,[class]android.widget.Button[resource_id]ridmik.keyboard:id/more_safe_text_btn[text]LEARN MORE[enabled  ],[class]android.widget.Button[resource_id]ridmik.keyboard:id/more_safe_text_btn,TouchEvent(state=641299f46c08e8cdef29edfb52b6a709  view=6783ac1c6c3e49332895cec113103b0a(SetupWizardActivity/Button-LEARN MORE))
2024-05-20_031546,touch,ridmik.keyboard,None,None,[class]android.view.ViewGroup[resource_id]None[text]None[enabled  ],[class]android.view.ViewGroup[resource_id]None,TouchEvent(state=641299f46c08e8cdef29edfb52b6a709  view=e4f9e4b3ef2c0bc26ed8acea500d64cd(SetupWizardActivity/ViewGroup-))
2024-05-20_031552,touch,ridmik.keyboard,ridmik.keyboard:id/okBtn,OK,[class]android.widget.TextView[resource_id]ridmik.keyboard:id/okBtn[text]OK[enabled  ],[class]android.widget.TextView[resource_id]ridmik.keyboard:id/okBtn,TouchEvent(state=641299f46c08e8cdef29edfb52b6a709  view=770263ccae73ac1e912bc2f44e92f4ef(SetupWizardActivity/TextView-OK))
2024-05-20_031558,scroll,ridmik.keyboard,ridmik.keyboard:id/setup_steps_screen,None,[class]android.widget.ScrollView[resource_id]ridmik.keyboard:id/setup_steps_screen[text]None[enabled  ],[class]android.widget.ScrollView[resource_id]ridmik.keyboard:id/setup_steps_screen,ScrollEvent(state=c8804fc44cc43ba71d8d05ac2ef93f27  view=26c7008363df72e7a4e165dbea8d39dc(SetupWizardActivity/ScrollView-)  direction=up)
2024-05-20_031605,scroll,ridmik.keyboard,ridmik.keyboard:id/setup_steps_screen,None,[class]android.widget.ScrollView[resource_id]ridmik.keyboard:id/setup_steps_screen[text]None[enabled  ],[class]android.widget.ScrollView[resource_id]ridmik.keyboard:id/setup_steps_screen,ScrollEvent(state=c8804fc44cc43ba71d8d05ac2ef93f27  view=26c7008363df72e7a4e165dbea8d39dc(SetupWizardActivity/ScrollView-)  direction=down)
2024-05-20_031611,scroll,ridmik.keyboard,ridmik.keyboard:id/setup_steps_screen,None,[class]android.widget.ScrollView[resource_id]ridmik.keyboard:id/setup_steps_screen[text]None[enabled  ],[class]android.widget.ScrollView[resource_id]ridmik.keyboard:id/setup_steps_screen,ScrollEvent(state=c8804fc44cc43ba71d8d05ac2ef93f27  view=26c7008363df72e7a4e165dbea8d39dc(SetupWizardActivity/ScrollView-)  direction=left)
